synth round,age range,count
Synthesys 1,0-15,2
Synthesys 1,16-24,221
Synthesys 1,25-34,1709
Synthesys 1,35-44,1018
Synthesys 1,45-54,518
Synthesys 1,55-64,208
Synthesys 1,65-74,106
Synthesys 1,75-84,7
Synthesys 2,0-15,2
Synthesys 2,16-24,131
Synthesys 2,25-34,1057
Synthesys 2,35-44,612
Synthesys 2,45-54,322
Synthesys 2,55-64,134
Synthesys 2,65-74,59
Synthesys 2,75-84,8
Synthesys 3,0-15,1
Synthesys 3,16-24,85
Synthesys 3,25-34,1207
Synthesys 3,35-44,822
Synthesys 3,45-54,423
Synthesys 3,55-64,248
Synthesys 3,65-74,73
Synthesys 3,75-84,13
Synthesys 4,16-24,57
Synthesys 4,25-34,477
Synthesys 4,35-44,344
Synthesys 4,45-54,180
Synthesys 4,55-64,109
Synthesys 4,65-74,38
Synthesys 4,75-84,4
