"GUID","synth1","synth3","synth4","synth2","synth round 1 age","synth round 2 age","synth round 3 age","synth round 4 age"
-636396585,4990,,,,"25-34","25-34","35-44","35-44"
-2093402830,,7737,,,"16-24","25-34","25-34","35-44"
-1622587803,,7656,,,"45-54","45-54","55-64","55-64"
-549933435,2504,,,,"25-34","25-34","35-44","35-44"
1470523006,821,,,,"45-54","45-54","55-64","55-64"
-1861038815,723,,,,"25-34","35-44","35-44","45-54"
411938032,,,2857,,"35-44","35-44","45-54","45-54"
-109480810,5021,2857,,2857,"35-44","35-44","45-54","45-54"
-755982647,5452,,,2994,"25-34","25-34","35-44","35-44"
-1444487543,,,4862,4862,"25-34","35-44","35-44","45-54"
1074156544,3668,,,,"25-34","35-44","35-44","45-54"
1720817647,,,,4382,"16-24","25-34","25-34","35-44"
-2085030601,,6657,,3744,"16-24","25-34","25-34","35-44"
-1355812223,6337,3348,,3348,"25-34","35-44","35-44","45-54"
841844738,,,,3499,"16-24","25-34","25-34","35-44"
669953871,,3152,,3152,"25-34","25-34","35-44","35-44"
983808231,2952,,,,"65-74","65-74","75-84","75-84"
978635389,,6094,,6094,"16-24","16-24","25-34","25-34"
2058734990,1250,,,,"25-34","25-34","35-44","35-44"
322781970,42,,,,"35-44","45-54","45-54","55-64"
1021020215,,9289,,,"16-24","16-24","25-34","25-34"
-1125664021,1154,,,,"35-44","35-44","45-54","45-54"
1672254008,3186,,,,"25-34","35-44","35-44","45-54"
-1196095315,,,12959,,"0-15","16-24","16-24","25-34"
1248349418,,6714,,,"25-34","25-34","35-44","35-44"
-2496192,4594,,,,"45-54","45-54","55-64","55-64"
-866607685,,,,736,"25-34","25-34","35-44","35-44"
207134132,,,736,,"25-34","25-34","35-44","35-44"
-1773618384,,7279,,,"16-24","25-34","25-34","35-44"
237973116,,,,3520,"16-24","25-34","25-34","35-44"
2022318433,,,12568,,"16-24","25-34","25-34","35-44"
-367774948,4221,,,,"25-34","25-34","35-44","35-44"
1699981967,5054,,,,"25-34","35-44","35-44","35-44"
1584162084,1720,3682,,3682,"65-74","65-74","75-84","75-84"
-1573098792,,5276,,,"25-34","25-34","35-44","35-44"
-316422275,5894,,,3237,"25-34","25-34","35-44","35-44"
-1474404250,1238,,,,"75-84","75-84","85+","85+"
-1981549245,,9168,,,"16-24","16-24","25-34","25-34"
-101126706,,,,5228,"25-34","25-34","35-44","35-44"
-1096175737,,,10401,,"0-15","0-15","16-24","16-24"
1223515983,4131,2467,,2467,"25-34","35-44","35-44","45-54"
2044131684,6474,,,,"35-44","45-54","45-54","55-64"
326637593,,,,5484,"25-34","25-34","35-44","35-44"
1112040529,1351,,,,"65-74","65-74","75-84","75-84"
560489125,,8393,,,"16-24","16-24","25-34","25-34"
-212551117,,6902,,,"16-24","16-24","25-34","25-34"
-393250490,3566,,,,"25-34","25-34","35-44","35-44"
977642644,,,,3836,"55-64","65-74","65-74","75-84"
761066209,5953,,,,"35-44","45-54","45-54","55-64"
1302751302,421,,,,"25-34","25-34","35-44","35-44"
-1284506762,2452,,,,"35-44","45-54","45-54","55-64"
